assetid,assetref,assetdesc,assetgroup,prodgroup,company,city,department,building,room,purdate,purprice,depterm,assetage,tddep,bookvalue,opstatus,maintstatus
1873,MOHCC/ADM/338/001,2 door Short Steel cupboard,Furniture and Fixtures,Cupboards and Cabinets,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1874,FINIP/ADM/319/001,Plastic Chairs,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1875,MICOM/ADM/319/001,Plastic Chairs,Furniture and Fixtures,Chairs,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1876,MLAFR/ADM/319/001,Plastic Chairs,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1877,MOHCC/ADM/319/001,Plastic Chairs,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1878,FINIP/ADM/319/002,Plastic Chairs,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1879,MICOM/ADM/319/002,Plastic Chairs,Furniture and Fixtures,Chairs,MICOM,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1880,MLAFR/ADM/319/002,Plastic Chairs,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1881,MOHCC/ADM/319/002,Plastic Chairs,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1882,FINIP/ADM/319/003,Plastic Chairs,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1883,MICOM/ADM/319/003,Plastic Chairs,Furniture and Fixtures,Chairs,MICOM,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1884,MLAFR/ADM/319/003,Plastic Chairs,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1885,MOHCC/ADM/319/003,Plastic Chairs,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1886,FINIP/ADM/319/004,Plastic Chairs,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1887,MICOM/ADM/319/004,Plastic Chairs,Furniture and Fixtures,Chairs,MICOM,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1888,MLAFR/ADM/319/004,Plastic Chairs,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1889,MOHCC/ADM/319/004,Plastic Chairs,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1890,FINIP/FIN/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,FINIP,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1891,MICOM/FIN/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MICOM,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1892,MLAFR/FIN/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLAFR,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1893,MOHCC/FIN/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1894,FINIP/ADM/319/005,Plastic Chairs,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1895,MICOM/ADM/319/005,Plastic Chairs,Furniture and Fixtures,Chairs,MICOM,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1896,MLAFR/ADM/319/005,Plastic Chairs,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1897,MOHCC/ADM/319/005,Plastic Chairs,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1898,FINIP/ADM/377/001,Plastic Table,Furniture and Fixtures,Tables,FINIP,Harare,Urban Development,Head Office,103,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1899,MICOM/ADM/377/001,Plastic Table,Furniture and Fixtures,Tables,MICOM,Harare,Urban Development,Head Office,103,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1900,MLAFR/ADM/377/001,Plastic Table,Furniture and Fixtures,Tables,MLAFR,Harare,Urban Development,Head Office,103,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1901,MOHCC/ADM/377/001,Plastic Table,Furniture and Fixtures,Tables,MOHCC,Harare,Urban Development,Head Office,103,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1902,FINIP/ADM/110/002,Fridges,Equipment - Office,Fridges,FINIP,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1903,MICOM/ADM/110/002,Fridges,Equipment - Office,Fridges,MICOM,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1904,MLAFR/ADM/110/002,Fridges,Equipment - Office,Fridges,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1905,MOHCC/ADM/110/002,Fridges,Equipment - Office,Fridges,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1906,FINIP/ADM/531/001,Electric Kettle,Equipment - Office,Kettles,FINIP,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1907,MICOM/ADM/531/001,Electric Kettle,Equipment - Office,Kettles,MICOM,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1908,MLAFR/ADM/531/001,Electric Kettle,Equipment - Office,Kettles,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1909,MOHCC/ADM/531/001,Electric Kettle,Equipment - Office,Kettles,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1910,FINIP/ADM/290/001,Ammo Box Black,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1911,MICOM/ADM/290/001,Ammo Box Black,Equipment - Office,Payment Equipment,MICOM,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1912,MLAFR/ADM/290/001,Ammo Box Black,Equipment - Office,Payment Equipment,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1913,MOHCC/ADM/290/001,Ammo Box Black,Equipment - Office,Payment Equipment,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1914,FINIP/ADM/874/001,Ladder,Equipment - Office,Ladders,FINIP,Harare,Public Works,Head Office,104,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1915,MICOM/ADM/874/001,Ladder,Equipment - Office,Ladders,MICOM,Harare,Public Works,Head Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1916,MLAFR/ADM/874/001,Ladder,Equipment - Office,Ladders,MLAFR,Harare,Public Works,Head Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1917,MOHCC/ADM/874/001,Ladder,Equipment - Office,Ladders,MOHCC,Harare,Public Works,Head Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1918,FINIP/FIN/331/004,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1919,MICOM/FIN/331/004,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1920,MOHCC/FIN/331/004,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1921,FINIP/FIN/332/002,4 drawer Filing Cabinet,Furniture and Fixtures,Cupboards and Cabinets,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1922,MICOM/FIN/332/002,4 drawer Filing Cabinet,Furniture and Fixtures,Cupboards and Cabinets,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1923,MLAFR/FIN/332/002,4 drawer Filing Cabinet,Furniture and Fixtures,Cupboards and Cabinets,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1924,MOHCC/FIN/332/002,4 drawer Filing Cabinet,Furniture and Fixtures,Cupboards and Cabinets,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1925,FINIP/FIN/128/001,HP Deskjet 3in1,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Idle/ Standby,In Use
1926,MICOM/FIN/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Idle/ Standby,In Use
1927,MLAFR/FIN/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Idle/ Standby,In Use
1928,MOHCC/FIN/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Idle/ Standby,In Use
1929,FINIP/SEC/860/13,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2012/03/22,4328.25,4,1290,3821.66,506.59,Operational,In Use
1930,MICOM/SEC/860/13,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Bulawayo,Urban Development,Bulawayo Office,104,2012/03/22,4328.25,4,1290,3821.66,506.59,Operational,In Use
1931,MLAFR/SEC/860/13,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2012/03/22,4328.25,4,1290,3821.66,506.59,Operational,In Use
1932,MOHCC/SEC/860/13,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2012/03/22,4328.25,4,1290,3821.66,506.59,Operational,In Use
1933,FINIP/SEC/860/26,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2019/03/22,4328.25,4,1283,3800.92,527.33,Operational,In Use
1934,MICOM/SEC/860/26,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Bulawayo,Urban Development,Bulawayo Office,104,2019/03/22,4328.25,4,1283,3800.92,527.33,Operational,In Use
1935,MLAFR/SEC/860/26,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2019/03/22,4328.25,4,1283,3800.92,527.33,Operational,In Use
1936,MOHCC/SEC/860/26,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2019/03/22,4328.25,4,1283,3800.92,527.33,Operational,In Use
1937,FINIP/SEC/860/004,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Harare,Public Works,Head Office,105,2028/03/22,4328.25,4,1275,3777.22,551.03,Operational,In Use
1938,MICOM/SEC/860/004,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Harare,Public Works,Head Office,105,2028/03/22,4328.25,4,1275,3777.22,551.03,Operational,In Use
1939,MLAFR/SEC/860/004,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Harare,Public Works,Head Office,105,2028/03/22,4328.25,4,1274,3774.26,553.99,Operational,In Use
1940,MOHCC/SEC/860/004,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Harare,Public Works,Head Office,105,2028/03/22,4328.25,4,1274,3774.26,553.99,Operational,In Use
1941,FINIP/SEC/860/005,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Harare,Public Works,Head Office,106,2029/03/22,4328.25,4,1273,3771.3,556.95,Operational,In Use
1942,MICOM/SEC/860/005,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Harare,Public Works,Head Office,106,2029/03/22,4328.25,4,1273,3771.3,556.95,Operational,In Use
1943,MLAFR/SEC/860/005,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Harare,Public Works,Head Office,106,2029/03/22,4328.25,4,1273,3771.3,556.95,Operational,In Use
1944,MOHCC/SEC/860/005,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Harare,Public Works,Head Office,106,2029/03/22,4328.25,4,1273,3771.3,556.95,Operational,In Use
1945,FINIP/SEC/860/006,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Harare,Public Works,Head Office,106,1930/03/22,4328.25,4,1272,3768.33,559.92,Operational,In Use
1946,MICOM/SEC/860/006,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Harare,Public Works,Head Office,106,1930/03/22,4328.25,4,1272,3768.33,559.92,Operational,In Use
1947,MLAFR/SEC/860/006,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Harare,Public Works,Head Office,106,1930/03/22,4328.25,4,1272,3768.33,559.92,Operational,In Use
1948,MOHCC/SEC/860/006,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Harare,Public Works,Head Office,106,1930/03/22,4328.25,4,1272,3768.33,559.92,Operational,In Use
1949,FINIP/SEC/860/007,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Harare,Public Works,Head Office,201,1931/03/22,4328.25,4,1271,3765.37,562.88,Operational,In Use
1950,MICOM/SEC/860/007,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Harare,Public Works,Head Office,201,1931/03/22,4328.25,4,1271,3765.37,562.88,Operational,In Use
1951,MLAFR/SEC/860/007,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Harare,Public Works,Head Office,201,1931/03/22,4328.25,4,1271,3765.37,562.88,Operational,In Use
1952,MOHCC/SEC/860/007,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Harare,Public Works,Head Office,201,1931/03/22,4328.25,4,1271,3765.37,562.88,Operational,In Use
1953,FINIP/SEC/860/23,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2006/04/22,4328.25,4,1266,3750.56,577.69,Operational,In Use
1954,MICOM/SEC/860/23,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Bulawayo,Urban Development,Bulawayo Office,104,2006/04/22,4328.25,4,1265,3747.59,580.66,Operational,In Use
1955,MLAFR/SEC/860/23,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2006/04/22,4328.25,4,1265,3747.59,580.66,Operational,In Use
1956,MOHCC/SEC/860/23,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2006/04/22,4328.25,4,1265,3747.59,580.66,Operational,In Use
1957,FINIP/SEC/860/003,CCTV Camera,Equipment Security,CCTV Camera,FINIP,Harare,Public Works,Head Office,101,2012/04/22,4328.25,4,1259,3729.82,598.43,Operational,In Use
1958,MICOM/SEC/860/003,CCTV Camera,Equipment Security,CCTV Camera,MICOM,Harare,Public Works,Head Office,101,2012/04/22,4328.25,4,1259,3729.82,598.43,Operational,In Use
1959,MLAFR/SEC/860/003,CCTV Camera,Equipment Security,CCTV Camera,MLAFR,Harare,Public Works,Head Office,101,2012/04/22,4328.25,4,1259,3729.82,598.43,Operational,In Use
1960,MOHCC/SEC/860/003,CCTV Camera,Equipment Security,CCTV Camera,MOHCC,Harare,Public Works,Head Office,101,2012/04/22,4328.25,4,1259,3729.82,598.43,Operational,In Use
1961,FINIP/OPS/293/10,Dispenser Cassings,Equipment - Office,Payment Equipment,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,16200,4,1392,15434.91,765.09,Operational,In Use
1962,MICOM/OPS/293/10,Dispenser Cassings,Equipment - Office,Payment Equipment,MICOM,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,16200,4,1391,15423.82,776.18,Operational,In Use
1963,MLAFR/OPS/293/10,Dispenser Cassings,Equipment - Office,Payment Equipment,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,16200,4,1391,15423.82,776.18,Operational,In Use
1964,MOHCC/OPS/293/10,Dispenser Cassings,Equipment - Office,Payment Equipment,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,16200,4,1391,15423.82,776.18,Operational,In Use
1965,FINIP/ADM/128/001,HP Deskjet 3in1,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1966,MICOM/ADM/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1967,MLAFR/ADM/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1968,MOHCC/ADM/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1969,FINIP/ADM/350/002,Mobile Pedestal drawer,Furniture and Fixtures,Drawers,FINIP,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1970,MICOM/ADM/350/002,Mobile Pedestal drawer,Furniture and Fixtures,Drawers,MICOM,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1971,MLAFR/ADM/350/002,Mobile Pedestal drawer,Furniture and Fixtures,Drawers,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1972,MOHCC/ADM/350/002,Mobile Pedestal drawer,Furniture and Fixtures,Drawers,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1973,FINIP/ADM/129/001,Samsung Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1974,MICOM/ADM/129/001,Samsung Printer,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1975,MLAFR/ADM/129/001,Samsung Printer,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1976,MOHCC/ADM/129/001,Samsung Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1977,FINIP/IT/004/001,Monitor,Equipment - Computers,Computers,FINIP,Harare,Public Works,Head Office,101,2019/04/22,1485,4,1252,1272.57,212.43,Operational,In Use
1978,MOHCC/IT/004/001,Monitor,Equipment - Computers,Computers,MOHCC,Harare,Public Works,Head Office,101,2019/04/22,1485,4,1252,1272.57,212.43,Operational,In Use
1979,FINIP/LOG/210/18,Dispenser Unit,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1980,MICOM/LOG/210/18,Dispenser Unit,Equipment - Office,Payment Equipment,MICOM,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1981,MLAFR/LOG/210/18,Dispenser Unit,Equipment - Office,Payment Equipment,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1982,MOHCC/LOG/210/18,Dispenser Unit,Equipment - Office,Payment Equipment,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1983,FINIP/LOG/230/40,Inverter/UPS,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1984,MOHCC/LOG/230/40,Inverter/UPS,Equipment - Office,Payment Equipment,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1985,FINIP/LOG/230/41,Inverter/UPS,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1986,FINIP/ADM/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1987,MICOM/ADM/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1988,MLAFR/ADM/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1989,MOHCC/ADM/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1990,FINIP/ADM/342/003,Table with 3 drawer,Furniture and Fixtures,Desks,FINIP,Harare,Public Works,Head Office,106,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
1991,MICOM/ADM/342/003,Table with 3 drawer,Furniture and Fixtures,Desks,MICOM,Harare,Public Works,Head Office,106,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
1992,MLAFR/ADM/342/003,Table with 3 drawer,Furniture and Fixtures,Desks,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
1993,MOHCC/ADM/342/003,Table with 3 drawer,Furniture and Fixtures,Desks,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
1994,FINIP/LOG/126/001,Bixolon Receipt Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
1995,MICOM/LOG/126/001,Bixolon Receipt Printer,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1392,3310.88,164.12,Operational,In Use
1996,MLAFR/LOG/126/001,Bixolon Receipt Printer,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
1997,MOHCC/LOG/126/001,Bixolon Receipt Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
1998,FINIP/LOG/126/002,Bixolon Receipt Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
1999,MICOM/LOG/126/002,Bixolon Receipt Printer,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
2000,MLAFR/LOG/126/002,Bixolon Receipt Printer,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
2001,MOHCC/LOG/126/002,Bixolon Receipt Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,3475,4,1391,3308.5,166.5,Operational,In Use
2002,FINIP/LOG/126/003,Bixolon Receipt Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2003,MICOM/LOG/126/003,Bixolon Receipt Printer,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2004,MLAFR/LOG/126/003,Bixolon Receipt Printer,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2005,MOHCC/LOG/126/003,Bixolon Receipt Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
2006,FINIP/LOG/126/004,Bixolon Receipt Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2007,MOHCC/LOG/126/004,Bixolon Receipt Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2008,FINIP/LOG/126/005,Bixolon Receipt Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2009,MICOM/LOG/126/005,Bixolon Receipt Printer,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2010,MLAFR/LOG/126/005,Bixolon Receipt Printer,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2011,MOHCC/LOG/126/005,Bixolon Receipt Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2012,FINIP/LOG/127/001,3in1 Printer,Equipment - Office,Printers,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2013,MICOM/LOG/127/001,3in1 Printer,Equipment - Office,Printers,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2014,MLAFR/LOG/127/001,3in1 Printer,Equipment - Office,Printers,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2015,MOHCC/LOG/127/001,3in1 Printer,Equipment - Office,Printers,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2016,FINIP/LOG/230/42,Inverter/UPS,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,104,1930/10/22,0.01,4,1058,0.01,0,Operational,In Use
2017,FINIP/LOG/004/007,Monitor,Equipment - Computers,Computers,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
2018,MICOM/LOG/004/007,Monitor,Equipment - Computers,Computers,MICOM,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
